sample-id,input,filtered,percentage of input passed filter,denoised,merged,percentage of input merged,non-chimeric,percentage of input non-chimeric,Year,Marker,Platform,Sample_target
Sample-064,1749303,1593472,91.09,1583802,1554185,88.85,1437396,82.17,23,COI,NS,surface
Sample-065,1657793,1506101,90.85,1498373,1474261,88.93,1378088,83.13,23,COI,NS,surface
Sample-066,1883750,1715439,91.07,1702916,1666257,88.45,1524635,80.94,23,COI,NS,surface
Sample-067,2013968,1798913,89.32,1789089,1750721,86.93,1597366,79.31,23,COI,NS,surface
Sample-068,1963154,1765803,89.95,1756331,1720030,87.62,1561418,79.54,23,COI,NS,surface
Sample-069,1708362,1565196,91.62,1555789,1525537,89.3,1384927,81.07,23,COI,NS,surface
Sample-070,1848116,1704771,92.24,1692747,1651284,89.35,1485869,80.4,23,COI,NS,surface
Sample-071,1707141,1558198,91.28,1546525,1510685,88.49,1368493,80.16,23,COI,NS,surface
Sample-072,1041988,846053,81.2,834383,811411,77.87,744976,71.5,23,COI,NS,surface
Sample-073,1802347,1655547,91.86,1646547,1615705,89.64,1487122,82.51,23,COI,NS,surface
Sample-074,1804369,1638254,90.79,1627659,1589818,88.11,1436596,79.62,23,COI,NS,surface
Sample-075,2034565,1789778,87.97,1778528,1736554,85.35,1566527,77.0,23,COI,NS,surface
Sample-076,2139182,1960582,91.65,1948916,1902286,88.93,1707954,79.84,23,COI,NS,surface
Sample-077,1819120,1620048,89.06,1611502,1581793,86.95,1463693,80.46,23,COI,NS,surface
Sample-078,2029721,1736636,85.56,1724883,1680555,82.8,1524587,75.11,23,COI,NS,surface
Sample-079,36620,25832,70.54,25831,25769,70.37,25769,70.37,23,COI,NS,blank
Sample-080,2586969,2225682,86.03,2216143,2186058,84.5,2099761,81.17,23,COI,NS,blank
Sample-081,2441541,2177849,89.2,2169317,2140396,87.67,2057511,84.27,23,COI,NS,blank
Sample-082,2620405,1836469,70.08,1827027,1790824,68.34,1712156,65.34,23,COI,NS,blank
Sample-083,2746594,2282153,83.09,2273270,2235998,81.41,2114515,76.99,23,COI,NS,blank
Sample-084,2107169,1675120,79.5,1667829,1643818,78.01,1577629,74.87,23,COI,NS,blank
Sample-085,2615259,2095122,80.11,2087551,2052716,78.49,1950656,74.59,23,COI,NS,blank
Sample-086,1762331,1158873,65.76,1146564,1108594,62.9,1036069,58.79,23,COI,NS,blank
Sample-087,38304,33621,87.77,33572,33370,87.12,33311,86.96,23,COI,NS,blank
Sample-088,827,285,34.46,283,268,32.41,268,32.41,23,COI,NS,blank
Sample-089,21436,18528,86.43,18527,18496,86.28,18386,85.77,23,COI,NS,blank
Sample-090,24762,22172,89.54,22147,21684,87.57,21683,87.57,23,COI,NS,blank
Sample-091,2900,56,1.93,48,0,0.0,0,0.0,23,COI,NS,blank
Sample-092,450,142,31.56,36,33,7.33,33,7.33,23,COI,NS,blank
Sample-001,158261,152478,96.35,149927,130475,82.44,129060,81.55,23,mifish,MS,surface
Sample-002,142164,139529,98.15,138167,114362,80.44,113479,79.82,23,mifish,MS,surface
Sample-003,113821,111357,97.84,110279,102568,90.11,101440,89.12,23,mifish,MS,surface
Sample-004,112582,110448,98.1,109097,97826,86.89,95795,85.09,23,mifish,MS,surface
Sample-005,145058,141241,97.37,140189,131550,90.69,130833,90.19,23,mifish,MS,surface
Sample-006,238905,235778,98.69,234957,224619,94.02,223850,93.7,23,mifish,MS,surface
Sample-007,118628,115351,97.24,113295,90867,76.6,89720,75.63,23,mifish,MS,surface
Sample-008,174334,171899,98.6,169717,148220,85.02,147246,84.46,23,mifish,MS,surface
Sample-009,105848,104159,98.4,102971,77200,72.93,75481,71.31,23,mifish,MS,surface
Sample-010,135731,134032,98.75,133231,117078,86.26,115983,85.45,23,mifish,MS,surface
Sample-011,138958,136711,98.38,135394,122775,88.35,121591,87.5,23,mifish,MS,surface
Sample-012,116994,114912,98.22,113690,93089,79.57,92213,78.82,23,mifish,MS,surface
Sample-013,90470,86154,95.23,85022,52262,57.77,51221,56.62,23,mifish,MS,surface
Sample-014,49521,48611,98.16,48165,43127,87.09,41709,84.22,23,mifish,MS,surface
Sample-015,116794,114133,97.72,113093,81760,70.0,81613,69.88,23,mifish,MS,surface
Sample-016,146862,144722,98.54,143731,130951,89.17,130684,88.98,23,mifish,MS,surface
Sample-017,164146,161290,98.26,158961,134081,81.68,132645,80.81,23,mifish,MS,surface
Sample-018,55311,53349,96.45,52675,40616,73.43,40010,72.34,23,mifish,MS,surface
Sample-019,212262,207848,97.92,207395,200858,94.63,200564,94.49,23,mifish,MS,surface
Sample-020,66549,64756,97.31,63745,48769,73.28,48259,72.52,23,mifish,MS,surface
Sample-021,74235,72575,97.76,71001,52598,70.85,52434,70.63,23,mifish,MS,surface
Sample-022,65958,64058,97.12,62921,55700,84.45,55367,83.94,23,mifish,MS,surface
