Taxonomy,Species,Zone_1_2025 MS_MiM,Zone_2A_2025 MS_MiM,Zone_2B_2025 MS_MiM,Zone_3_2025 MS_MiM,Zone_1_2024 MS_MiM,Zone_2A_2024 MS_MiM,Zone_2B_2024 MS_MiM,Zone_3_2024 MS_MiM,Zone_1_2023 MS_MiM,Zone_2A_2023 MS_MiM,Zone_2B_2023 MS_MiM,Zone_3_2023 MS_MiM,Zone_1_2023 NS_MiU,Zone_2A_2023 NS_MiU,Zone_2B_2023 NS_MiU,Zone_3_2023 NS_MiU,Zone_1_2022 NS_MiU,Zone_2A_2022 NS_MiU,Zone_2B_2022 NS_MiU,Zone_3_2022 NS_MiU,Cooper et al. (2023),ECW Inc. (2022),Ipsen et al. (2013),Arens et al. (2007),Singh et al. (2000)
k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Merlucciidae;g__Merluccius;s__Merluccius bilinearis (silver hake),Merluccius bilinearis,0,9965,3,0,0,0,0,0,3661,7,5326,3923,0,0,0,0,0,0,0,0,0,1,0,0,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Pollachius;s__Pollachius virens (saithe),Pollachius virens,8544,12120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Gasterosteidae;g__Gasterosteus;s__Gasterosteus wheatlandi (blackspotted stickleback),Gasterosteus wheatlandi,16,25,0,19490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
k__Metazoa;p__Chordata;c__Chondrichthyes;o__Squaliformes;f__Squalidae;g__Squalus;s__Squalus acanthias (spiny dogfish),Squalus acanthias,2805,1370,0,7250,0,0,0,0,2608,0,4451,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Cypriniformes;f__Leuciscidae;g__Rhinichthys;s__Rhinichthys atratulus (blacknose dace),Rhinichthys atratulus,0,0,0,0,2419,0,0,0,8904,5133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Lophiiformes;f__Lophiidae;g__Lophius;s__Lophius americanus (American angler),Lophius americanus,0,0,0,0,0,0,15075,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Gasterosteidae;g__Pungitius;s__Pungitius pungitius (ninespine stickleback),Pungitius pungitius,0,0,0,0,0,0,0,0,10516,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
k__Metazoa;p__Chordata;c__Chondrichthyes;o__Lamniformes;f__Alopiidae;g__Alopias;s__Alopias vulpinus (thresher shark),Alopias vulpinus,246,1517,0,213,0,2,0,2968,319,2296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Sprattus;s__Sprattus sprattus (European sprat),Sprattus sprattus,0,0,0,0,0,0,0,0,0,0,0,0,2008,0,2651,711,0,0,0,0,0,0,0,0,0
k__Metazoa;p__Chordata;c__Chondrichthyes;o__Lamniformes;f__Alopiidae;g__Carcharodon;s__Carcharodon carcharias (great white shark),Carcharodon carcharias,0,0,0,0,0,0,842,1378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Metazoa;p__Chordata;c__Mammalia;o__Carnivora;f__Phocidae;g__Halichoerus;s__Halichoerus grypus (gray seal),Halichoerus grypus,684,0,0,0,0,0,0,0,0,0,0,824,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Pleuronectiformes;f__Pleuronectidae;g__Reinhardtius;s__Reinhardtius hippoglossoides (Greenland flounder),Reinhardtius hippoglossoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,21,49,45,0,0,0,0,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Sebastidae;g__Sebastes;s__Sebastes mentella (deepwater redfish),Sebastes mentella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,13,5,0,0,0,0,0
